date," fanSignal"," resistorSignal"
2023-06-18 17:06:51.797235,0,56
2023-06-18 17:06:53.200186,0,16
2023-06-18 17:06:54.603383,100,0
2023-06-18 17:06:56.006665,100,0
2023-06-18 17:06:57.410027,100,0
2023-06-18 17:06:58.813108,100,0
2023-06-18 17:07:00.216438,100,0
2023-06-18 17:07:01.619672,100,0
2023-06-18 17:07:03.022889,100,0
2023-06-18 17:07:04.426184,100,0
2023-06-18 17:07:05.828013,100,0
2023-06-18 17:07:07.231563,100,0
2023-06-18 17:07:08.634697,100,0
2023-06-18 17:07:10.038070,100,0
2023-06-18 17:07:11.441262,100,0
2023-06-18 17:07:12.846353,100,0
2023-06-18 17:07:14.248412,100,0
2023-06-18 17:07:15.651222,100,0
2023-06-18 17:07:17.054356,100,0
2023-06-18 17:07:18.457800,100,0
2023-06-18 17:07:19.861379,100,0
2023-06-18 17:07:21.263064,100,0
2023-06-18 17:07:22.666342,100,0
2023-06-18 17:07:24.069814,100,0
2023-06-18 17:07:25.478967,100,0
2023-06-18 17:07:26.876259,100,0
2023-06-18 17:07:28.279398,100,0
2023-06-18 17:07:29.682602,100,0
2023-06-18 17:07:31.086099,100,0
2023-06-18 17:07:32.489166,100,0
2023-06-18 17:07:33.894551,100,0
2023-06-18 17:07:35.298952,100,0
2023-06-18 17:07:36.701370,100,0
2023-06-18 17:07:38.107044,100,0
2023-06-18 17:07:39.509758,100,0
2023-06-18 17:07:40.912980,100,0
2023-06-18 17:07:42.316810,100,0
2023-06-18 17:07:43.721363,100,0
2023-06-18 17:07:45.124690,100,0
2023-06-18 17:07:46.529128,100,0
2023-06-18 17:07:47.933927,100,0
2023-06-18 17:07:49.337248,100,0
2023-06-18 17:07:50.741316,100,0
2023-06-18 17:07:52.145466,100,0
2023-06-18 17:07:53.547523,100,0
2023-06-18 17:07:54.949449,100,0
2023-06-18 17:07:56.352404,100,0
2023-06-18 17:07:57.755737,100,0
2023-06-18 17:07:59.159049,100,0
2023-06-18 17:08:00.562108,100,0
2023-06-18 17:08:01.965171,100,0
2023-06-18 17:08:03.368540,100,0
2023-06-18 17:08:04.771519,100,0
2023-06-18 17:08:06.174838,100,0
